acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
4095,4095,13748,-1488,-44,16754
4095,4095,13748,-1488,-44,16754
4095,4095,13749,-1444,-28,16616
4095,4095,13749,-1444,-28,16616
4095,4095,13750,-1466,12,16720
4095,4095,13750,-1466,12,16720
4095,4095,13751,-1486,-36,16734
4095,4095,13751,-1486,-36,16734
4095,4095,13752,-1456,-12,16698
4095,4095,13752,-1456,-12,16698
4095,4095,13753,-1424,36,16756
4095,4095,13753,-1424,36,16756
4095,4095,13754,-1474,-16,16706
4095,4095,13754,-1474,-16,16706
4095,4095,13755,-1438,-6,16676
4095,4095,13755,-1438,-6,16676
4095,4095,13756,-1424,8,16666
4095,4095,13756,-1424,8,16666
4095,4095,13757,-1474,-28,16782
4095,4095,13757,-1474,-28,16782
4095,4095,13758,-1446,-16,16648
4095,4095,13758,-1446,-16,16648
4095,4095,13759,-1452,-28,16702
4095,4095,13759,-1452,-28,16702
4095,4095,13760,-1456,-6,16736
4095,4095,13760,-1456,-6,16736
4095,4095,13761,-1452,-24,16664
4095,4095,13761,-1452,-24,16664
4095,4095,13762,-1446,-28,16736
4095,4095,13762,-1446,-28,16736
4095,4095,13763,-1510,-26,16744
4095,4095,13763,-1510,-26,16744
4095,4095,13764,-1492,16,16670
4095,4095,13764,-1492,16,16670
4095,4095,13765,-1458,4,16658
4095,4095,13765,-1458,4,16658
4095,4095,13766,-1478,-50,16740
4095,4095,13766,-1478,-50,16740
4095,4095,13767,-1424,0,16710
4095,4095,13767,-1424,0,16710
4095,4095,13768,-1456,-28,16724
4095,4095,13768,-1456,-28,16724
4095,4095,13769,-1492,-14,16762
4095,4095,13769,-1492,-14,16762
4095,4095,13770,-1466,-28,16636
4095,4095,13770,-1466,-28,16636
4095,4095,13771,-1506,-26,16726
4095,4095,13771,-1506,-26,16726
4095,4095,13772,-1498,0,16722
4095,4095,13772,-1498,0,16722
4095,4095,13773,-1438,-18,16646
4095,4095,13773,-1438,-18,16646
4095,4095,13774,-1448,-36,16632
4095,4095,13774,-1448,-36,16632
4095,4095,13775,-1488,-18,16762
4095,4095,13775,-1488,-18,16762
4095,4095,13776,-1456,-74,16684
4095,4095,13776,-1456,-74,16684
4095,4095,13777,-1484,-16,16702
4095,4095,13777,-1484,-16,16702
4095,4095,13778,-1502,-40,16788
4095,4095,13778,-1502,-40,16788
4095,4095,13779,-1466,-2,16696
4095,4095,13779,-1466,-2,16696
4095,4095,13780,-1438,-32,16730
4095,4095,13780,-1438,-32,16730
4095,4095,13781,-1468,-52,16702
4095,4095,13781,-1468,-52,16702
4095,4095,13782,-1452,-30,16654
4095,4095,13782,-1452,-30,16654
4095,4095,13783,-1500,-18,16726
4095,4095,13783,-1500,-18,16726
